Company Name,Industries,Email Convention
Pragma Corporate Finance,"Corporate Finance, Investment Banking, Pragma Corporate Finance",john.smith@pragma.com.tr
Ascent Capital Partners,"Ascent Capital Partners, Investment Banking",
Citic Securities International ______,"Citic Securities International ______, Investment Banking",
IKB Deutsche Industriebank AG,"IKB Deutsche Industriebank AG, Investment Banking",
ICBC International Holdings Limited,"ICBC International Holdings Limited, Investment Banking",
Colebrooke Capital,"Colebrooke Capital, Investment Banking",
Capital One Securities,"Capital One Securities, Equity Research, Investment Banking, Sales and Trading",
Accident Compensation Company,"Accident Compensation Company, Corporate Finance, Insurance, Investment Banking",
Dominick and Dickerman LLC,"Dominick and Dickerman LLC, Investment Banking",
Regions Securities,"Investment Banking, Regions Securities",
HighBank Advisors,"HighBank Advisors, Investment Banking",
Bankhaus Lampe KG,"Bankhaus Lampe KG, Commercial Banking, Corporate Finance, Equity Research, Investment Banking, Sales and Trading, Venture Capital",
Lehman Brothers,"Investment Banking, Lehman Brothers",
Stella Capital Advisors LLP,"Investment Banking, Stella Capital Advisors LLP",
"Caitong Securities Co., Ltd","Caitong Securities Co., Ltd, Investment Banking",
Nexus Capital Markets,"Investment Banking, Nexus Capital Markets",
Recovery Partners,"Investment Banking, Recovery Partners, Other",
Peters & Co.,"Investment Banking, Peters & Co.",
LoHi Merchant Bank,"Investment Banking, LoHi Merchant Bank",firstname@lohicap.com
Banamex,"Asset Management, Banamex, Commercial Banking, Corporate Finance, Insurance, Investment Banking, Sales and Trading",
Acasta Capital,"Acasta Capital, Consulting, Corporate Finance, Investment Banking, Private Equity, Venture Capital, Other",
Meridian Partners & Co.,"Investment Banking, Meridian Partners & Co., Private Equity",
Evans Hagen & Company,"Evans Hagen & Company, Investment Banking",
Tofte & Company,"Investment Banking, Tofte & Company",
Raiffeisen Zentralbank Ästerreich AG,"Commercial Banking, Investment Banking, Raiffeisen Zentralbank Ästerreich AG",
Mane Capital,"Investment Banking, Mane Capital",Smith@manecapital.com
Siam Commercial Bank,"Commercial Banking, Consulting, Equity Research, Investment Banking, Siam Commercial Bank",
DiBrina Sure Group Inc.,"DiBrina Sure Group Inc., Insurance, Investment Banking, Private Equity",
Simmons & Company International,"Investment Banking, Simmons & Company International",
Dundee Capital Markets,"Dundee Capital Markets, Investment Banking",
China Orient International Capital Ltd,"China Orient International Capital Ltd, Investment Banking",
"Geraty Investments, LLC","Geraty Investments, LLC, Investment Banking",
PI Financial,"Equity Research, Investment Banking, PI Financial, Sales and Trading",
GPB JSC,"Commercial Banking, GPB JSC, Investment Banking",
Stratford Capital Group,"Investment Banking, Stratford Capital Group",
Amalgamated Investment Bancorporation,"Amalgamated Investment Bancorporation, Asset Management, Investment Banking",
The Trout Group,"Investment Banking, The Trout Group",
Straumur Investment Bank,"Investment Banking, Straumur Investment Bank",
Torreya Partners,"Investment Banking, Torreya Partners",
Triple Tree Merchant Banking,"Investment Banking, Triple Tree Merchant Banking",
Merit Harbor Group,"Investment Banking, Merit Harbor Group",
The Verta Group,"Consulting, Investment Banking, Real Estate, The Verta Group, Venture Capital",
Candle Advisors Private Limited,"Candle Advisors Private Limited, Investment Banking",
Varige Cap,"Investment Banking, Varige Cap",
Beacon Securities,Investment Banking,
NewPoint Capital Partners Inc,Investment Banking,
Paladin CMS Advisors,"Consulting, Corporate Finance, Investment Banking",
PJT Partners,"Investment Banking, PJT Partners Taubman Blackstone BX Elite Boutique EB",
Momentum Partners,Investment Banking,
Acumen Capital Partners,"Corporate Finance, Equity Research, Investment Banking, Sales and Trading",jsmith@acumencapital.com
SSG Capital,"Accounting, Investment Banking",
Steen Associates,Investment Banking,
HC Wainwright and Co,"Corporate Finance, Investment Banking, Private Equity, Sales and Trading",jsmith@hcwco.com
Captarget,Investment Banking,
Bank of China,Investment Banking,
The Alberleen Group,Investment Banking,
Orix,"Asset Management, Corporate Finance, Investment Banking, Real Estate",
Equinox Securities Inc,Investment Banking,
Intesa Sanpaolo,Investment Banking,
Telos,Investment Banking,
Andrew Garrett Inc,"Asset Management, Investment Banking, Private Equity, Sales and Trading",
DNB Markets,"Investment Banking, undefined",
Great Oak Advisors,Investment Banking,
HilltopSecurities,Investment Banking,john.smith@hilltopsecurities.com
Ravinia Capital LLC,Investment Banking,
Lumos Partners,"boutique, Investment Banking",john@lumospartners.com
Blackhill Partners LLC,Investment Banking,jsmith@bphllc.com
Outcome Capital,Investment Banking,
Industria Partners,Investment Banking,
Charter Capital Partners,Investment Banking,
APP Securities,Investment Banking,
Echelon Wealth Partners,Investment Banking,jdoe@echelonpartners.com
Seaport Global Securities,Investment Banking,
NewPoint Capital,Investment Banking,
Liberty North Capital LLC,Investment Banking,
Elmcore Securities,Investment Banking,
Westwood Capital LLC,Investment Banking,
Envisage Advisors LLC,"Investment Banking, Private Equity",jsmith@envisageadvisors.com
Kimberlite,Investment Banking,
Banca IMI,Investment Banking,
Pall Mall Capital,"Corporate Finance, Investment Banking",
Cane Creek Capital Advisors,"Consulting, Corporate Finance, Investment Banking, Private Equity",
Business Acquisition and Merger Associates,"Charlotte, Investment Banking, Investment Banking, M&A, middle market",
Nolan & Associates,Investment Banking,
Morgan Stanley Huaxin Securities,Investment Banking,
Verus Partners,Investment Banking,
3 Seas Capital Partners,Investment Banking,
EUropean Investment Bank,Investment Banking,
Reinvention Capital Advisors,Investment Banking,
Opus Bank,"Commercial Banking, Investment Banking, Private Equity",
Petrie Partners,Investment Banking,
Opsione Conseil,Investment Banking,
Serficor Partners SAPI de CV,Investment Banking,
Cr_dit Agricole Corporate and Investment Bank,Investment Banking,
Ashley Capital Group,Investment Banking,
Primary Capital LLC,Investment Banking,
CFG Bank,"Asset Management, Investment Banking, Private Equity, Sales and Trading",j.smith@cfgbank.com
Elite Global Solutions LLP,"2016 investment banking, Banking to Private Equity, investment bank, Investment Banking, LBO",anand@venturestoday.com
EC Mergers and Acquisitions,Investment Banking,
Michel Dyens,Investment Banking,
Corporate Finance House,Investment Banking,john@cfh.com.lb
Dexter Capital Advisors,Investment Banking,
Dexter Capital,Investment Banking,
CLSA,"Corporate Finance, Investment Banking, Private Equity, Sales and Trading",
Investec (US),Investment Banking,
Broadhaven Capital Partners,Investment Banking,
McDonald Lehner,"Cross-Border M&A in Latin America since 1996, Investment Banking",
Nemera Caputal Group,Investment Banking,
Stone Key Partners,Investment Banking,
Arlington Capital Advisors,Investment Banking,
Alantra,Investment Banking,
The Burke Group,Investment Banking,
Rosenblatt Securities,Investment Banking,
Share Financial Services,Investment Banking,
H.C. Wainwright & Co.,"Equity Research, Investment Banking, Sales and Trading",
Height Securities,Investment Banking,
Park Sutton Advisors,Investment Banking,
MCF Corporate Finance,Investment Banking,
Investec South Africa,"Asset Management, Commercial Banking, Corporate Finance, Investment Banking, Private Equity, Real Estate, Other",
RF Lafferty,"Asset Management, Equity Research, Investment Banking, Sales and Trading",
RGL Advisors,Investment Banking,
MidCap Financial,"Investment Banking, Other",
MMG Advisors,Investment Banking,
Ducera,Investment Banking,
FINNEA Group,Investment Banking,
Peter J Solomon Company,Investment Banking,
m2o,Investment Banking,
Brocair Partners,Investment Banking,
The Hatteras Group,Investment Banking,
National Bank of Oman,"Asset Management, Corporate Finance, Investment Banking, Oman Investment Banking, Private Equity",
Transact Capital,Investment Banking,
Fifth Third Securities,Investment Banking,
Carter Morse & Mathias,Investment Banking,
Stone Pier Capital Advisors,Investment Banking,
ODDO BHF,"Asset Management, Corporate Finance, Equity Research, Investment Banking, Sales and Trading",
Cukierman Co.,Investment Banking,
teamOn,Investment Banking,
AttijariWafa Bank,"Commercial Banking, Equity Research, Investment Banking, Sales and Trading",
Handelsbanken Capital Markets,Investment Banking,
MUFG,Investment Banking,
Arrowroot Advisors,Investment Banking,
Drake Star Partners,Investment Banking,
Ministry of Finance of the Czech Republic,"Accounting, Asset Management, Corporate Finance, Equity Research, Investment Banking, Private Equity, Venture Capital",
Ashton Stewart,Investment Banking,
Shea & co,Investment Banking,
LCC Asia Pacific,Investment Banking,
Mabuhay Capital,Investment Banking,
TAG Energy Partners LLC,Investment Banking,
Cassel Salpeter,Investment Banking,
Quadrature,Investment Banking,
Sikich Corporate Finance,Investment Banking,
Union Gaming Securities,Investment Banking,
Hilltop Securities Inc,Investment Banking,
Colonnade Advisors LLC,Investment Banking,
deal globe,Investment Banking,
M Klein and Company,Investment Banking,
Alira Health,Investment Banking,
Rock River Capital,Investment Banking,
VICTORIAPARTNERS GmbH,"Equity Research, Investment Banking, Real Estate",
Kotak Investment Banking,Investment Banking,
laurus capital,Investment Banking,
Aeris Partners,Investment Banking,
First Republic Bank,Investment Banking,
FFSL,Investment Banking,
HCF International Advisers Limited,"debt advisory, Infrastructure, Investment Banking, mining, project finance",
Foundation Markets,Investment Banking,
Asian Infrastructure Investment Bank,"AIIB, Investment Banking, MDB, Multilateral Development Bank",john.smith@aiib.org
Coronation Merchant Bank,Investment Banking,
Valitas Capital Partners,Investment Banking,
"Bruderman Brothers, LLC",Investment Banking,
Allegro Capital Advisors,Investment Banking,
Palm Tree Capital,Investment Banking,
Bankmed SAL,"Commercial Banking, Corporate Finance, Insurance, Investment Banking, Sales and Trading, Other",
Rochefort Associ_s,Investment Banking,
Rush Street Capital,Investment Banking,
SI Partners,"Consulting, Investment Banking",
Citi Orient Securities,Investment Banking,
Nielen Schuman,"Corporate Finance, Investment Banking",
Panmure Gordon & Co.,"Corporate Finance, Equity Research, Investment Banking, Private Equity, Sales and Trading",
Hermes Capital Advisors,Investment Banking,
H C Wainwright,Investment Banking,
Tyton Partners,"Consulting, Investment Banking",
Locus Capital Partners,Investment Banking,
Clarksons Platou Securities,"Equity Research, Investment Banking, Sales and Trading",
Anchor,Investment Banking,
Brean Capital,Investment Banking,
Guosen Securities,Investment Banking,
Clearwater International,Investment Banking,
Nomura Services India Pvt Ltd,Investment Banking,
Americas Growth Capital LLC,Investment Banking,
Akbank,"Commercial Banking, Corporate Finance, Investment Banking, Sales and Trading",
GP Bullhound,Investment Banking,
Joseph Gunnary Co LLC,Investment Banking,
Frontcourt Group,Investment Banking,
AsiaCap Investment Advisors,Investment Banking,
Banco Safra,"Asset Management, Banco Safra, Commercial Banking, Investment Banking, J Safra, Safra",
RSM,"Accounting, Corporate Finance, Investment Banking",
Penfida,Investment Banking,
"Hashem Capital Management, LLC",Investment Banking,
Vesta Partners Inc,Investment Banking,
Silverpeak LLP,Investment Banking,
Cherry Tree Associates,Investment Banking,
Dyal Co LLC,Investment Banking,
Standard Chartered,"Commercial Banking, Corporate Finance, Investment Banking, Private Equity, Real Estate",
Arjan Equity,Investment Banking,
KSCA,Investment Banking,
S Goldman Advisors,Investment Banking,
Noble Capital Markets,Investment Banking,
ING Group,"Commercial Banking, Corporate Finance, Equity Research, Insurance, Investment Banking, Real Estate, Sales and Trading",
ING Bank,Investment Banking,
Alcazar Capital,"Alcazar, Alcazar Capital, Dubai, emerging markets, Investment Banking, Investment Banking, Private Equity, private equity",jsmith@alcazar-capital.com
China First Capital Group,"Asset Management, Corporate Finance, Investment Banking, Private Equity, Venture Capital",
Pioneer Investcorp Limited,Investment Banking,
Goetzpartners,Investment Banking,
AltaCorp Capital Inc,Investment Banking,
Madison Park Group,Investment Banking,
Gladstone Associates LLC,Investment Banking,
Ardea Partners,Investment Banking,
Euro Latina Finance,Investment Banking,
CVCapital,Investment Banking,
Stonybrook Capital,Investment Banking,
PCC,Investment Banking,
True Blue Partners,Investment Banking,
Newport Capital Group,Investment Banking,
PMCF,Investment Banking,
EA Markets,Investment Banking,
BroadSpan Capital,"Asset Management, Investment Banking",
China Galaxy stock company,Investment Banking,
LUMA Partners,Investment Banking,
NYBC,Investment Banking,
Seapoint Advisors,Investment Banking,
"China Galaxy Securities Co., LTD",Investment Banking,
GFG Holdings LLC,"Asset Management, Investment Banking, Venture Capital",
osool & bakheet investment company,"Asset Management, Investment Banking",
Euro Pacific Capital,Investment Banking,
Mizuho Bank,Investment Banking,
Kaufman Hall and Associates,"Consulting, Investment Banking",
Solganick Co,Investment Banking,
Whitehall,Investment Banking,
Auctus Group,Investment Banking,
